program_name,program_level,domain,eligibility,description,mode,duration,skills_learned,career_outcomes,min_degree_level,min_marks_general,min_marks_reserved,required_subjects
B.SC.(HOME SCIENCE),UG,Humanities,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of home science, encompassing the principles and practices related to the management, design, and administration of the home environment. It covers aspects of textiles, nutrition, family dynamics, and consumer education.",Regular,4 year,"['Home management', 'Textile design', 'Nutrition planning', 'Consumer education']","['Home manager', 'Textile designer', 'Nutrition consultant', 'Family administrator']",PreUG,50.0,,[]
B.SC.(HONS.)BOTANY,UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"The program focuses on the study of botany, covering the biological principles, structure, function, and classification of plants. It involves in-depth study of plant physiology, ecology, and taxonomy.",Regular,4 year,"['Biological classification', 'Plant physiology', 'Taxonomic methods', 'Scientific observation']","['Botanist', 'Horticulturist', 'Agricultural researcher', 'Environmental consultant']",PreUG,50.0,,"['Botany', 'Science']"
B.SC.(HONS.)ZOOLOGY,UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"The program focuses on the study of zoology, which encompasses the biological sciences of animals. It involves in-depth study of animal physiology, behavior, ecology, and classification.",Regular,4 year,"['Biological classification', 'Animal physiology', 'Ecology principles', 'Data interpretation']","['Zoologist', 'Wildlife researcher', 'Aquaculture specialist', 'Veterinary assistant']",PreUG,50.0,,"['ZOOLOGY', 'Science']"
Bachelor of Science (Physical Sciences),UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the study of physical sciences, covering fundamental principles of physics, chemistry, and mathematics. It develops analytical and problem-solving skills necessary for understanding the natural world.",Regular,4 year,"['Scientific reasoning', 'Mathematical problem-solving', 'Experimental design', 'Data interpretation']","['Research assistant', 'Laboratory technician', 'Analytical analyst', 'Technical support specialist']",PreUG,50.0,,"['Physical Sciences', 'Science']"
Bachelor of Science (Life Sciences),UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% marks.,"This program focuses on the study of life sciences, encompassing biological, chemical, and physical principles. It provides a comprehensive foundation in the core concepts of living systems and their interactions. The curriculum develops analytical and investigative skills in the biological domain.",Regular,4 year,"['Biological analysis', 'Scientific inquiry', 'Data interpretation', 'Laboratory techniques']","['Research assistant', 'Laboratory technician', 'Biotechnology analyst', 'Medical research support']",PreUG,50.0,,"['Life Sciences', 'Science']"
BACHELOR OF COMPUTER APPLICATION (4 YEARS),UG,Engineering,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the foundational principles of computer applications and software development. It covers core concepts in programming, data structures, and system design. The curriculum aims to develop analytical and problem-solving skills in computing.",Regular,4 year,"['Programming fundamentals', 'System design', 'Data structures', 'Problem-solving']","['Software developer', 'Application analyst', 'Systems administrator', 'IT consultant']",PreUG,50.0,,"['Computer Application', 'Science']"
B.SC.(HONS.)CHEMISTRY,UG,Science,Possess Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the fundamental principles and advanced concepts of chemistry. It involves in-depth study of chemical reactions, structures, properties, and their applications across various domains. The curriculum develops a strong foundation in chemical theory and analytical techniques.",Regular,4 year,"['Chemical analysis', 'Laboratory techniques', 'Theoretical understanding', 'Problem-solving']","['Chemical technician', 'Research assistant', 'Quality control analyst', 'Process development']",PreUG,50.0,,"['Chemistry', 'Science']"
B.SC.(HONS.)COMPUTER SCIENCE,UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the fundamental principles of computer science, covering theoretical foundations, algorithms, and programming concepts. It involves studying the mathematical and logical basis for computation and information systems.",Regular,4 year,"['Programming logic', 'Algorithmic thinking', 'Data structures', 'Problem-solving']","['Software Developer', 'Systems Analyst', 'Data Scientist', 'IT Consultant']",PreUG,50.0,,"['Computer Science', 'Science']"
B.SC.(HONS.)PHYSICS,UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the fundamental principles of physics, covering classical mechanics, electromagnetism, thermodynamics, and quantum theory. It develops a strong foundation in mathematical modeling and physical laws governing the natural world.",Regular,4 year,"['Mathematical reasoning', 'Physical problem-solving', 'Theoretical analysis', 'Experimental design']","['Research assistant', 'Technical analyst', 'Laboratory technician', 'Academic instructor']",PreUG,50.0,,"['Physics', 'Science']"
Bachelor of Science (Sport Science),UG,Science,Requires Senior Secondary Examination (10+2) with at least 50% aggregate marks.,"This program focuses on the scientific principles underlying physical activity, human movement, and physiological responses. It involves studying the biomechanics, physiology, and psychology related to sport and physical performance.",Regular,4 year,"['Physical assessment', 'Biomechanics analysis', 'Physiological monitoring', 'Training principles']","['Sports coach', 'Physical trainer', 'Sports analyst', 'Fitness consultant']",PreUG,50.0,,"['Sport Science', 'Science']"
M.A. (EDUCATION),PG,Humanities,No specific eligibility requirements are stated.,"This program focuses on the theoretical and empirical study of educational systems, theories, and practices. It involves in-depth analysis of pedagogical concepts, curriculum design, and educational policy.",Regular,2 year,"['Theoretical analysis', 'Curriculum design', 'Educational policy', 'Research methodology']","['Educational researcher', 'Curriculum developer', 'Educational administrator', 'Instructional designer']",UG,,,[]
M.P.ED.,PG,Humanities,No specific eligibility requirements were provided.,"This program focuses on the study of education, pedagogy, and educational psychology. It involves exploring theories, practices, and methods related to teaching and learning processes. The curriculum aims to develop expertise in educational administration and instructional design.",Regular,2 year,"['Educational theory', 'Pedagogical methods', 'Curriculum design', 'Educational psychology']","['School administrator', 'Curriculum developer', 'Educational consultant', 'Teacher trainer']",UG,,,[]
B.P. ED.,UG,Humanities,No specific eligibility requirements were provided.,This program focuses on the study of human development and related psychological principles. It involves exploring theories and practices related to the growth and learning processes of individuals.,Regular,2 year,"['Study skills', 'Critical thinking', 'Observation', 'Communication']","['Educational assistant', 'Counselor', 'Teacher assistant', 'Student support specialist']",PreUG,,,[]
M.Ed. Special Education (L.D.),PG,Humanities,No specific eligibility requirements were provided.,This program focuses on the theoretical foundations and practical application of special education principles. It involves studying pedagogical methods tailored for diverse learning needs and educational settings. The curriculum emphasizes understanding the psychology and development of students with special educational needs.,Regular,2 year,"['Curriculum design', 'Educational psychology', 'Instructional planning']","['Special education teacher', 'Educational consultant', 'Curriculum developer']",UG,,,[]
M.TECH. (BIOTECHNOLOGY),PG,Science,No specific eligibility requirements were provided.,"This program focuses on advanced study in the field of biotechnology. It covers core principles of molecular biology, genetics, and biological systems. The curriculum emphasizes research and application in biological sciences.",Regular,2 year,"['Biotechnology principles', 'Molecular biology', 'Biological systems', 'Research techniques']","['Biotechnology researcher', 'Bioprocess engineer', 'R&D specialist', 'Bioinformatics analyst']",UG,,,[]
M.TECH. (COMP. SCIENCE AND ENGG.),PG,Engineering,No specific eligibility requirements are stated.,This program focuses on advanced study in the intersection of computer science and engineering principles. It involves in-depth exploration of theoretical concepts and practical applications within the field.,Regular,2 year,"['Problem-solving', 'Algorithm design', 'Systems analysis', 'Programming proficiency']","['Software developer', 'Systems architect', 'Research engineer', 'IT consultant']",UG,,,[]
M.TECH. COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),PG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence and Machine Learning within the field of Computer Science and Engineering. It covers advanced mathematical, computational, and algorithmic concepts necessary for developing intelligent systems. The curriculum emphasizes the design, implementation, and evaluation of complex ML models.",Regular,2 year,"['Machine learning', 'Algorithm design', 'Programming', 'Data analysis']","['AI Developer', 'Machine Learning Engineer', 'Data Scientist', 'Software Architect']",UG,,,[]
M.TECH. (ELECTRONICS & COMMUNICATION ENGINEERING),PG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the theoretical foundations and practical applications of electronics and communication systems. It involves in-depth study of electrical, electronic, and communication principles.",Regular,2 year,"['Circuit design', 'Signal processing', 'Communication theory', 'System analysis']","['Electronics engineer', 'Communication systems analyst', 'RF engineer', 'Embedded systems developer']",UG,,,[]
M.TECH. (MANUFACTURING AND AUTOMATION),PG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles and processes involved in manufacturing and automation systems. It covers the theoretical foundations and practical applications necessary for designing and optimizing automated production processes. The curriculum emphasizes the integration of mechanical, electrical, and control systems in modern manufacturing environments.",Regular,2 year,"['Process optimization', 'System design', 'Automation control', 'Manufacturing processes']","['Automation engineer', 'Manufacturing consultant', 'Process improvement specialist', 'Production manager']",UG,,,[]
M.TECH (MECHANICAL ENGINEERING),PG,Engineering,No specific eligibility requirements are stated.,"This program focuses on advanced study in mechanical engineering principles and applications. It involves in-depth exploration of design, analysis, and manufacturing processes within the field.",Regular,2 year,"['Design principles', 'Thermodynamics', 'Material science', 'Machine dynamics']","['Mechanical design engineer', 'Thermal systems analyst', 'Manufacturing process specialist', 'R&D engineer']",UG,,,[]
M.TECH (STRUCTURAL ENGINEERING),PG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the advanced study of structural engineering principles and design. It involves in-depth exploration of material behavior, structural analysis, and design methodologies for complex structures.",Regular,2 year,"['Structural analysis', 'Design methodologies', 'Material behavior', 'Structural mechanics']","['Structural design engineer', 'Structural analyst', 'Bridge designer', 'Structural consultant']",UG,,,[]
M. TECH. (POWER SYSTEMS),PG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles and applications related to power systems. It involves in-depth study of electrical systems, energy generation, transmission, and distribution concepts.",Regular,2 year,"['Power system analysis', 'Electrical engineering', 'System modeling', 'Energy management']","['Power system engineer', 'Energy consultant', 'Power plant operator', 'Grid planner']",UG,,,[]
M.TECH. COMPUTER SCIENCE AND ENGINEERING (WORKING PROFESSIONALS),PG,Engineering,No specific eligibility requirements are stated.,This program focuses on advanced study in computer science and engineering principles. It involves in-depth exploration of theoretical concepts and practical applications within the field.,Part Time,2 year,"['Programming skills', 'System design', 'Algorithm development', 'Software development']","['Software developer', 'Systems analyst', 'IT consultant', 'Research engineer']",UG,,,[]
M.TECH. MECHANICAL ENGINEERING (WORKING PROFESSIONALS),PG,Engineering,No specific eligibility requirements are stated.,"This program focuses on advanced study in mechanical engineering principles and applications. It involves in-depth exploration of mechanical systems, design, and manufacturing processes. The curriculum is designed to enhance professional engineering capabilities.",Part Time,2 year,"['Mechanical design', 'System analysis', 'Manufacturing processes', 'Problem-solving']","['Design engineer', 'Production manager', 'Mechanical consultant', 'R&D specialist']",UG,,,[]
M.TECH. POWER SYSTEMS (WORKING PROFESSIONALS),PG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the advanced study of power systems. It covers the theoretical foundations and practical applications related to the generation, transmission, distribution, and control of electrical power systems. The curriculum emphasizes system analysis and optimization.",Part Time,2 year,"['Power system analysis', 'System optimization', 'Electrical engineering', 'Power system modeling']","['Power system engineer', 'Consultant', 'Energy sector specialist', 'System designer']",UG,,,[]
MBA for Working Professional,PG,Management,No specific eligibility requirements were provided.,"This program focuses on applying management principles to the context of working professionals. It covers core business functions, strategic decision-making, and leadership skills relevant to the contemporary business environment.",Part Time,2 year,"['Business strategy', 'Financial analysis', 'Leadership skills', 'Project management']","['Business manager', 'Consultant', 'Operations executive', 'Marketing specialist']",UG,,,[]
MCA for Working Professional,PG,Management,No specific eligibility requirements were provided.,This program focuses on advanced management principles and analytical skills applicable to working professionals. It aims to equip participants with the knowledge necessary to apply business concepts in a professional setting.,Part Time,2 year,"['Business analysis', 'Project management', 'Data interpretation']","['Business analyst', 'Management consultant', 'Project manager']",UG,,,[]
MCA,PG,Management,No specific eligibility requirements were provided.,"This program focuses on advanced concepts in management, information systems, and business processes. It provides a comprehensive understanding of organizational behavior, technology application, and strategic decision-making.",Regular,2 year,"['Systems analysis', 'Business strategy', 'Data management', 'Software development']","['Systems analyst', 'Business consultant', 'IT manager', 'Data scientist']",UG,,,[]
M. PHARM. (INDUSTRIAL PHARMACY),PG,Science,No specific eligibility requirements were provided.,"This program focuses on the intersection of pharmaceutical sciences and industrial applications. It covers the principles of pharmaceutical manufacturing, quality control, and industrial processes within the pharmaceutical sector. The curriculum emphasizes the practical application of scientific knowledge to industrial settings.",Regular,2 year,"['Pharmaceutical manufacturing', 'Quality control', 'Industrial processes', 'Regulatory compliance']","['Pharmaceutical industry specialist', 'Production manager', 'Quality assurance officer', 'R&D associate']",UG,,,[]
M. PHARM. (PHARMACEUTICAL CHEMISTRY),PG,Science,No specific eligibility requirements are stated.,"This program focuses on the chemical principles underlying pharmaceutical sciences. It involves in-depth study of the synthesis, properties, and applications of pharmaceutical substances. The curriculum covers the chemical aspects essential for drug development and manufacturing.",Regular,2 year,"['Chemical synthesis', 'Pharmaceutical analysis', 'Drug formulation', 'Analytical techniques']","['Pharmaceutical research', 'Drug development', 'Quality control', 'R&D specialist']",UG,,,[]
M. PHARM. (PHARMACOGNOSY),PG,Science,No specific eligibility requirements were provided.,"This program focuses on the study of pharmacognosy, which involves the study of medicinal drugs derived from natural sources. It covers the chemical, pharmacological, and botanical aspects of these natural products.",Regular,2 year,"['Natural product analysis', 'Pharmacological knowledge', 'Botanical identification', 'Medicinal chemistry']","['Pharmaceutical research', 'Natural product development', 'Quality control specialist', 'Medicinal plant research']",UG,,,[]
M. PHARM. (PHARMACOLOGY),PG,Science,No specific eligibility requirements were provided.,"This program focuses on the study of pharmacology, which involves the study of the interactions between drugs and living systems. It covers the mechanisms of drug action, therapeutic effects, and pharmacological principles.",Regular,2 year,"['Pharmacological principles', 'Drug mechanism study', 'Therapeutic evaluation']","['Pharmacist', 'Clinical researcher', 'Drug development specialist']",UG,,,[]
M.PHARM. (DRUG REGULATORY AFFAIRS),PG,Science,No specific eligibility requirements were provided.,This program focuses on the regulatory affairs aspects within the pharmaceutical sciences. It covers the knowledge required to manage the regulatory processes governing drug development and approval.,Regular,2 year,"['Regulatory compliance', 'Pharmaceutical science', 'Documentation management', 'Policy analysis']","['Regulatory affairs specialist', 'Drug approval officer', 'Pharmaceutical consultant', 'Quality assurance manager']",UG,,,[]
B.PHARMECY,UG,Science,No specific eligibility requirements were provided.,"This program focuses on the principles and practices of pharmaceutical sciences. It covers the development, manufacturing, and quality control of medicinal products. The curriculum emphasizes the intersection of chemistry, biology, and pharmacology.",Regular,4 year,"['Pharmaceutical chemistry', 'Drug formulation', 'Quality control', 'Pharmacology principles']","['Pharmaceutical industry roles', 'Research and development', 'Quality assurance specialist', 'Drug manufacturing']",PreUG,,,[]
B.ARCH,UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles of architectural design, planning, and construction. It covers the theoretical foundations and practical application of spatial organization and building systems.",Regular,5 year,"['Design principles', 'Spatial planning', 'Construction methods']","['Architect', 'Building designer', 'Urban planner']",PreUG,,,[]
B.TECH - ROBOTICS & ARTIFICIAL INTELLIGENCE,UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles and applications of robotics and artificial intelligence. It involves studying the mathematical, computational, and engineering foundations required to design and develop intelligent systems.",Regular,4 year,"['Programming skills', 'Algorithm design', 'System modeling', 'Machine learning', 'Robotics operation']","['AI Developer', 'Robotics Engineer', 'Machine Learning Specialist', 'Software Developer']",PreUG,,,[]
B.TECH (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence and Machine Learning. It covers algorithms, data structures, and computational methods essential for developing intelligent systems. The curriculum emphasizes problem-solving and model development in the field of computer science.",Regular,4 year,"['Algorithm design', 'Data analysis', 'Programming proficiency', 'Model development']","['Machine Learning Engineer', 'AI Developer', 'Data Scientist', 'Software Developer']",PreUG,,,[]
B.TECH (AUTOMOBILE ENGINEERING),UG,Engineering,No specific eligibility requirements are provided.,"This program focuses on the principles and applications of automotive engineering. It covers the design, development, and analysis of vehicle systems and components. The curriculum emphasizes mechanical, electrical, and material science principles applied to the automotive sector.",Regular,4 year,"['Mechanical design', 'Systems analysis', 'Material science', 'Problem-solving']","['Automotive design engineer', 'Vehicle development specialist', 'Mechanical systems analyst', 'Manufacturing process manager']",PreUG,,,[]
B.TECH (BIO-TECHNOLOGY ENGINEERING),UG,Engineering,No specific eligibility requirements were provided.,This program focuses on the intersection of biology and engineering principles to develop solutions in biological systems. It involves studying the application of scientific knowledge to design and develop technologies related to living organisms.,Regular,4 year,"['Biological systems', 'Process design', 'Bioprocess analysis', 'Experimental techniques']","['Biotechnology researcher', 'Bio-process engineer', 'R&D specialist', 'Pharmaceutical development']",PreUG,,,[]
B.TECH (CIVIL ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles and practices of civil engineering, covering the design, construction, and maintenance of public and private infrastructure. It involves studying the physical, mechanical, and environmental aspects of built environments.",Regular,4 year,"['Structural analysis', 'Material science', 'Construction methods', 'Infrastructure design']","['Civil Engineer', 'Structural designer', 'Construction manager', 'Infrastructure planner']",PreUG,,,[]
B.TECH (COMPUTER SCIENCE & ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles of computer science and engineering. It covers the theoretical foundations, algorithms, and practical applications of computing systems. The curriculum emphasizes problem-solving and system design in the field of technology.",Regular,4 year,"['Programming skills', 'Algorithm design', 'System analysis', 'Software development']","['Software developer', 'Systems analyst', 'Data scientist', 'Computer engineer']",PreUG,,,[]
B.TECH (COMPUTER SCIENCE & INFORMATION TECHNOLOGY),UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of computer science and information technology. It covers algorithms, data structures, programming, and the management of information systems.",Regular,4 year,"['Programming skills', 'Data structures', 'Algorithm design', 'Information systems']","['Software developer', 'Systems analyst', 'Data scientist', 'IT consultant']",PreUG,,,[]
B.TECH (COMPUTER SCIENCE AND TECHNOLOGY),UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles and practices of computer science and technology. It covers theoretical foundations, algorithms, data structures, and the application of these concepts to solve complex computational problems. The curriculum emphasizes logical thinking and problem-solving skills within the field of computing.",Regular,4 year,"['Programming skills', 'Algorithmic thinking', 'Problem-solving', 'Data structures', 'Computational logic']","['Software Developer', 'Systems Analyst', 'Data Scientist', 'IT Consultant', 'Computer Engineer']",PreUG,,,[]
B.Tech (CSE- Data Science),UG,Science,No specific eligibility requirements were provided.,"This program focuses on the intersection of Computer Science and Data Science principles. It involves training in computational methods, statistical analysis, and the application of algorithms to large datasets. The curriculum covers theoretical foundations and practical applications in data-driven problem-solving.",Regular,4 year,"['Programming skills', 'Statistical analysis', 'Algorithm design', 'Data manipulation']","['Data Scientist', 'Machine Learning Engineer', 'Software Developer', 'Data Analyst']",PreUG,,,[]
B.TECH (CSE-ARTIFI. INTELLIGEN. & MACHINE LEARNING ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles of computer science, artificial intelligence, and machine learning. It involves studying algorithms, data structures, and the application of computational methods to solve complex problems. The curriculum emphasizes theoretical foundations and practical implementation in these advanced fields.",Regular,4 year,"['Programming skills', 'Algorithm design', 'Machine learning', 'Data analysis', 'Software development']","['Machine learning engineer', 'AI developer', 'Software architect', 'Data scientist', 'Algorithm designer']",PreUG,,,[]
B.TECH (CSE-INTERNET OF THINGS & CYBER SECURITY ENGINEERING),UG,Engineering,No specific eligibility requirements were provided.,This program focuses on the principles of Computer Science and Engineering applied to the fields of Internet of Things and Cyber Security. It covers the theoretical foundations and practical applications necessary for securing interconnected systems and developing intelligent networks.,Regular,4 year,"['System design', 'Network security', 'Programming skills', 'Algorithm development']","['Cyber security analyst', 'IoT developer', 'Network engineer', 'Software developer']",PreUG,,,[]
B.TECH (ELECTRICAL & ELECTRONICS ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,This program focuses on the fundamental principles of electrical and electronic systems. It covers the theoretical foundations and practical applications necessary for designing and analyzing electrical and electronic circuits and devices.,Regular,4 year,"['Circuit design', 'System analysis', 'Electronic components', 'Mathematical modeling']","['Electrical engineer', 'Electronics designer', 'Power systems analyst', 'Control systems specialist']",PreUG,,,[]
B.TECH (ELECTRICAL ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the fundamental principles of electrical engineering, covering areas such as circuit theory, electromagnetism, and power systems. It develops a strong foundation in the design, analysis, and application of electrical systems and components.",Regular,4 year,"['Circuit analysis', 'System design', 'Mathematical modeling', 'Problem-solving']","['Electrical engineer', 'Power system analyst', 'Control systems designer', 'Electronics technician']",PreUG,,,[]
B.TECH (ELECTRONICS & COMMUNICATION ENGINEERING),UG,Engineering,No specific eligibility requirements were provided.,This program focuses on the principles of electronics and communication systems. It covers the theoretical foundations and practical applications in electrical and communication technologies.,Regular,4 year,"['Circuit design', 'Signal processing', 'System analysis', 'Digital logic']","['Electronics design engineer', 'Communication systems analyst', 'Embedded systems developer', 'Signal processing specialist']",PreUG,,,[]
B.TECH (ELECTRONICS AND COMPUTER ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,This program focuses on the principles of electronics and computer engineering. It covers the theoretical foundations and practical applications of electrical systems and computational technologies.,Regular,4 year,"['Circuit design', 'Programming skills', 'Digital logic', 'System analysis']","['Electronics engineer', 'Computer engineer', 'Embedded systems developer', 'Hardware designer']",PreUG,,,[]
B.TECH (FASHION & APPAREL ENGINEERING),UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles and practices of designing and manufacturing textiles and apparel. It covers the technical aspects of fashion design, material science, and production processes within the apparel industry.",Regular,4 year,"['Design principles', 'Material science', 'Production techniques', 'Pattern making']","['Fashion designer', 'Apparel engineer', 'Textile developer', 'Product developer']",PreUG,,,[]
B.TECH (FASHION TECHNOLOGY),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the intersection of fashion design and technological principles. It involves studying the technical aspects of textile development, material science, and the technological processes involved in fashion production. The curriculum aims to develop skills in both creative design and technical application.",Regular,4 year,"['Textile design', 'Material science', 'Fashion technology', 'Pattern making', 'Product development']","['Fashion designer', 'Textile engineer', 'Product developer', 'Fashion technologist', 'Textile consultant']",PreUG,,,[]
B.TECH (FIRE TECHNOLOGY & SAFETY),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles and technologies related to fire safety and protection systems. It covers the engineering aspects necessary to design, analyze, and manage fire safety solutions. The curriculum emphasizes the application of scientific principles to prevent and mitigate fire hazards.",Regular,4 year,"['Fire safety systems', 'Risk assessment', 'System design', 'Safety management']","['Fire safety engineer', 'Safety consultant', 'Fire protection specialist', 'Risk assessor']",PreUG,,,[]
B.TECH (INFORMATION TECHNOLOGY),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles and practices of information technology. It covers the theoretical foundations and practical applications of computing systems, software development, and data management. The curriculum aims to develop students with strong analytical and problem-solving skills in the IT domain.",Regular,4 year,"['Programming skills', 'System design', 'Software development', 'Data management']","['Software Developer', 'Systems Analyst', 'IT Consultant', 'Data Scientist']",PreUG,,,[]
B.TECH (INSTRUMENTATION & CONTROL ENGINEERING),UG,Engineering,No specific eligibility criteria are provided.,"This program focuses on the principles and applications of instrumentation and control systems. It covers the design, implementation, and analysis of systems that measure, control, and regulate physical processes.",Regular,4 year,"['System design', 'Control theory', 'Measurement techniques', 'Signal processing']","['Control engineer', 'Instrumentation specialist', 'Automation technician', 'Process control analyst']",PreUG,,,[]
B.TECH (MECHANICAL & AUTOMATION),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles of mechanical systems and automation technologies. It covers the design, analysis, and control of mechanical devices and automated systems. The curriculum emphasizes the integration of mechanical and control principles for practical applications.",Regular,4 year,"['Mechanical design', 'System analysis', 'Control theory', 'Automation systems']","['Mechanical engineer', 'Automation specialist', 'Design engineer', 'Process control technician']",PreUG,,,[]
B.TECH (MECHANICAL ENGINEERING),UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles of mechanical engineering, covering core concepts in thermodynamics, fluid mechanics, and material science. It involves the application of mathematical and analytical methods to design, analyze, and optimize mechanical systems.",Regular,4 year,"['Problem-solving', 'Analytical thinking', 'Design principles', 'Mathematical modeling']","['Mechanical design engineer', 'Thermal systems analyst', 'Manufacturing process specialist', 'Mechanical systems consultant']",PreUG,,,[]
B.TECH (PRINTING TECHNOLOGY),UG,Engineering,No specific eligibility requirements are stated.,This program focuses on the principles and technologies related to printing processes. It covers the theoretical foundations and practical applications of various printing techniques and technologies.,Regular,4 year,"['Printing technology', 'Process optimization', 'Technical drawing', 'Machine operation']","['Printing engineer', 'Production manager', 'Process consultant', 'Technical designer']",PreUG,,,[]
B.TECH (TEXTILE CHEMISTRY),UG,Science,No specific eligibility requirements are stated.,This program focuses on the chemical processes and materials involved in the textile industry. It covers the fundamental principles of chemistry applied to fiber and fabric production. The curriculum emphasizes material science and chemical analysis relevant to textiles.,Regular,4 year,"['Chemical analysis', 'Material science', 'Process optimization']","['Textile R&D specialist', 'Material development engineer', 'Quality control analyst']",PreUG,,,[]
B.TECH (TEXTILE TECHNOLOGY),UG,Engineering,No specific eligibility criteria are provided.,"This program focuses on the study of textile technology, encompassing the science and engineering principles related to the production, processing, and management of textile materials. It covers the theoretical foundations and practical applications in the textile industry.",Regular,4 year,"['Material science', 'Process optimization', 'Textile manufacturing', 'Quality control']","['Textile engineer', 'Production manager', 'R&D specialist', 'Quality assurance officer']",PreUG,,,[]
B.TECH -ARTIFICIAL INTELLIGENCE & DATA SCIENCE,UG,Science,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence and Data Science. It covers the mathematical, statistical, and computational methods required to analyze complex data and develop intelligent systems. The curriculum emphasizes machine learning, algorithms, and data-driven decision making.",Regular,4 year,"['Data analysis', 'Machine learning', 'Programming skills', 'Statistical modeling']","['Data Scientist', 'AI Engineer', 'Machine Learning Specialist', 'Data Analyst']",PreUG,,,[]
B.TECH- COMPUTER SCIENCE & DESIGN,UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles of computer science and the design of computational systems. It involves studying algorithms, data structures, and the design of software and hardware solutions.",Regular,4 year,"['Programming skills', 'System design', 'Algorithm development', 'Software development', 'Problem-solving']","['Software Developer', 'Systems Analyst', 'Computer Designer', 'Algorithm Specialist']",PreUG,,,[]
B.TECH. (ARTIFICIAL INTELLIGENCE),UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the theoretical foundations and practical applications of Artificial Intelligence. It covers algorithms, data structures, and computational methods essential for developing intelligent systems. The curriculum emphasizes problem-solving and the development of intelligent software solutions.",Regular,4 year,"['Algorithm design', 'Programming proficiency', 'Data structures', 'Machine learning', 'Computational thinking']","['AI Developer', 'Machine Learning Engineer', 'Data Scientist', 'Software Developer', 'AI Researcher']",PreUG,,,[]
B.TECH. (COMPUTER ENGINEERING),UG,Engineering,No specific eligibility requirements are stated.,"This program focuses on the principles of computer science, algorithms, and software development. It covers the theoretical foundations and practical applications necessary for designing and developing computing systems.",Regular,4 year,"['Programming skills', 'Algorithm design', 'System analysis', 'Software development']","['Software developer', 'Systems analyst', 'Data engineer', 'Computer programmer']",PreUG,,,[]
B.TECH. (ROBOTICS AND AUTOMATION ENGINEERING),UG,Engineering,No specific eligibility requirements were provided.,"This program focuses on the principles and applications of robotics and automation. It involves studying the design, development, and implementation of intelligent systems and automated control mechanisms. The curriculum covers the theoretical foundations and practical skills required for modern engineering solutions.",Regular,4 year,"['System design', 'Control theory', 'Programming skills', 'Automation techniques']","['Robotics engineer', 'Automation specialist', 'Control systems designer', 'Software developer']",PreUG,,,[]
BACHELOR OF PLANNING,UG,Management,No specific eligibility requirements were provided.,"This program focuses on the principles, theories, and practices of planning across various sectors. It involves developing strategies and frameworks for achieving organizational and societal goals. The curriculum covers the systematic process of planning and decision-making.",Regular,4 year,"['Strategic planning', 'Decision making', 'Policy analysis', 'Project management']","['Planning officer', 'Management consultant', 'Policy analyst', 'Urban planner']",PreUG,,,[]
